summonerId,summonerName,enemyMissingPings,matchCount
wec2T7S_xOtyKA-EIrUMP26uTaGcIoD_cNVlpvQnTo6Ryw,함마얘,24,1
0sYvDJGjzhq2uc_HCfkFvLssztZu1yw6_ps0syhsWY5R6PY,검은무릎,24,1
43Ac39kIhUkfuh0WxEVrqxcLjL4AicIN_bWboRr4vSuqosw,정신이상자정글,24,1
L7Tp9tsf9zUi5swDI2Kc13uQ7ZMZp5rSDyhru9A-c0om3sM,OFFL1NX,24,1
-fqKoP97IafEJ8Q9aMpvnzekEFiRGxfaObG0TypW6MFfOWr1TWhxMTvFbw,gupard,24,1
oXbO5iM5D32xwc8VvifMrPgn5CV_HeAmFOsD6M1FJIgQ-lY,사랑스러운 바미,24,1
bQjC98deKec-zEUnW0FNOt_zePOSP6aNoMh0Z2lU7pZN1IE,익산보륵사지석탑,24,1
C3tlCZzNNBfZGKRTryJoxy2Vg-kv72H1e4t3RogoxhnIUxk,말아먹는면봉,24,1
CdayhyNY6svPsrcFwY7dEHVaVD9gWk6Qyrf29uQSRiBSDUY,29th in 20s,24,1
mTxKYqNjL_caFmTBfmqFgZLUi9S2ESOFab0pkDzQ-aGp29o,돌거북 친구,24,1
MlLEoH88A2cH0L7G-ZPfeNULU7uCDHf5lhZ1MAtiDrZVwbs,자유론,24,1
_g4hqgdeVXwm7ukfBixNLO8ijD3c0vEeJs-LKYlGZoCS2g,봇에도사람살아요,24,58
zUHjWk10PwGQSbmb-oJ2z03DnoGf9M8ikkRs8_O36p_EhRE,촬 댄,24,1
DOhHzWIT8Tk695mAYPJ1uLY09SUpdK-wRWNaEJ6gR-Zw4v4,연습용계정6666,24,1
e0Fm2MPAE5L9oeee4yX1mFtoBgiz0Ri4S8ONcM8Q8rEocD4,오빠 나 빨아줘,24,1
dJf0lgaNk9u66YghkX3FxNo5m-eem_62dGyI8qlmvRgIb6OPba4_W25-Kg,도레미파솔라시도시라솔파미레도레,24,1
4Fm39qd5-0ieGakTMfET0BAISngJA1eSVZbQaJuRNPME-UI,바텀7H,24,1
uQ061uxkYNwvgmdXWeqYxVz5WRaBQOiw7lJ3UmhgyHmGN47WO1VZPXZpIw,가철이,24,1
t2IWqwA4DN6lWG87aBxq9kXbUJeBDrDHX-73nWmZlJAdRDw,여남화장실,24,1
jpYNSJ_dZUm_y4eY06VxSigc2alkVJuFcnuzWE2-cWaRpM5-cxR7VDWErA,쵸 풍,24,2
_FxR7tHODwV7xQGcNjO_lrem1ohTUDS9uhGoeoj7T2oZrdg,굳은어깨,23,9
WDFo_iu6QYOONp2PVqAPgpOXdl0nsP3oFFCjPkT4QQDJpVc,삐 닛,23,1
grfOz9ngQ30V9b-R2DE0LzbNoN3EKi5XgodwRxIyU_BwrU_bFuCO0cojKw,히히빵빵,23,1
1HuCuK9fg_5mlAoGzB6gEOBQXtsHhqCRvCTfX7W-g5ZzYg,휴즈네스트,23,1
uD1h5ENQkPDjKN-hdAnXkWDsOeX2Rc35vTkaCtsNSo43HDM,포텐작열,23,1
